Marka;Nazwa GPSR;Adres;Email;Telefon;Produkty
"TM Toys";"TM Toys Sp. z o.o.";"ul. Emilii Plater 53, 00-113 Warszawa, Polska";"biuro@tmtoys.pl";"+48 22 465 96 11";7
"DERFORM SP. Z O.O.";"Derform Sp. z o.o.";"ul. Łąkowa 11, 83-010 Straszyn, Polska";"biuro@derform.pl";"+48 58 741 15 11";7
"Carioca";"CARIOCA S.p.A.";"Via Sempione 10, 15067 Novi Ligure (AL), Italia";"info@carioca.it";"+39 0143 322 411";7
"STNUX CHILIŃSKI I WSPÓLNICY SPÓŁKA JAWNA";"Stnux Sp. z o.o.";"ul. Aleje Jerozolimskie 200, 02-486 Warszawa, Polska";"kontakt@stnux.pl";"+48 22 243 84 50";7
"Tullo";"Tullo Katarzyna Abramczuk";"Łódź, Polska";"tullo@tullo.pl";"";7
"Smoby";"Smoby Toys SAS";"Zone Industrielle, 39220 Les Rousses, France";"contact@smoby.com";"+33 3 84 60 35 35";7
"Barbie";"Mattel, Inc.";"333 Continental Blvd, El Segundo, CA 90245, USA";"consumer.services@mattel.com";"+1 800 524 8697";7
"Bicycle";"The United States Playing Card Company";"300 Gap Way, Erlanger, KY 41018, USA";"";"";7
"Fru blu";"TM Toys Sp. z o.o.";"ul. Emilii Plater 53, 00-113 Warszawa, Polska";"biuro@tmtoys.pl";"+48 22 465 96 11";7
"Flamingo Line";"Flamingo Sp. z o.o.";"ul. Przemysłowa 3, 44-190 Knurów, Polska";"biuro@flamingo-line.pl";"";7
"Cricco";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";6
"LISCIANI GIOCHI";"Lisciani Giochi S.r.l.";"Via Ramo d'Oro, snc - Zona Ind.le, 64014 Martinsicuro (TE), Italia";"info@liscianigiochi.it";"+39 0861 799 711";6
"IQ";"";"";"";"";6
"Mungyo";"Mungyo Co., Ltd.";"Busan, South Korea";"";"";6
"A&G KOPERTY";"A&G Koperty Sp. z o.o.";"ul. Gołdapska 12, 19-500 Gołdap, Polska";"biuro@agkoperty.com.pl";"";6
"Z-Design";"Avery Zweckform GmbH";"Miesbacher Str. 5, 83626 Valley, Deutschland";"info-de@avery.com";"";6
"DONAU TECH";"DONAU Sp. z o.o.";"ul. Kolejowa 5/7, 01-217 Warszawa, Polska";"info@donau-brand.pl";"+48 22 632 83 00";6
"Avery";"Avery Zweckform GmbH";"Ernst-Abbe-Straße 26, 85540 Haar, Deutschland";"info@avery-zweckform.de";"+49 89 436 80 0";6
"John";"JOHN GmbH";"Industriestraße 4, 83543 Rott am Inn, Deutschland";"info@john-toys.com";"+49 8039 9098 0";6
"ToysInn";"ToysInn Sp. z o.o.";"ul. Kartuska 5, 80-103 Gdańsk, Polska";"biuro@toysinn.pl";"";6
"Axel";"Axel Sp. z o.o.";"ul. Siennicka 25, 04-393 Warszawa, Polska";"axel@axel.com.pl";"+48 22 612 73 14";6
"Newell";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";6
"TRIFOX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Trifox Sp. z o.o.";"ul. Kolejowa 5, 01-217 Warszawa, Polska";"biuro@trifox.pl";"";6
"ARTYK SP. Z O.O.";"Artyk Sp. z o.o.";"ul. Demokratyczna 46, 93-430 Łódź, Polska";"biuro@artyk.com.pl";"+48 42 684 42 42";6
"Nice Group";"Nice Group Co., Ltd.";"Yiwu, Zhejiang, China";"";"";6
"Inny producent";"";"";"";"";6
"Marek";"Marek Sp. z o.o.";"Polska";"";"";6
"DARIUSZ ADAMIEC "ADAR" AGENCJA HANDLOWO-USŁUGOWA";"Adar Agencja Handlowo-Usługowa Dariusz Adamiec";"Łódź, Polska";"";"";6
"KWADRATURA KOŁA EWA FRĄCKIEWICZ";"Kostas Group Sp. z o.o.";"ul. Metalowa 3, 82-300 Elbląg, Polska";"biuro@kostasgroup.pl";"+48 55 236 39 00";6
"Steffi";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";5
"Emerson";"Emerson Sp. z o.o.";"";"biuro@emerson.pl";"";5
"Y-Plus";"Euro-Trade Sp. z o.o. Sp. k.";"ul. Łokietka 155, 31-263 Kraków, Polska";"biuro@euro-trade.pl";"";5
"Kamaben";"P.P.H.U. KAMABEN";"ul. Kilińskiego 162, 93-117 Łódź, Polska";"kamaben@kamaben.pl";"";5
"Toys";"Lean Toys";"ul. Północna 1, 42-240 Rudniki, Polska";"biuro@leantoys.com";"";5
"Wallner";"Argo S.A.";"ul. Krynicka 1, 80-393 Gdańsk, Polska";"argo@argo.pl";"";5
"Dong-A";"Euro-Trade Sp. z o.o. Sp. k.";"ul. Łokietka 155, 31-263 Kraków, Polska";"biuro@euro-trade.pl";"";5
"Oval";"P.P.H.U. OVAL Sp. z o.o.";"ul. Mickiewicza 21, 32-050 Skawina, Polska";"biuro@oval.pl";"";5
"CDC PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"CDC PL Sp. z o.o.";"ul. Żelazna 1, 40-851 Katowice, Polska";"cdc@cdc.pl";"";5
"Pozostałe";"";"";"";"";5
"Memobe";"Memobe Sp. z o.o.";"ul. Szchowska 53, 20-082 Lublin, Polska";"biuro@memobe.pl";"";5
"Tuban";"Tuban Sp. z o.o.";"ul. Bohaterów 11 Listopada 9, 42-680 Tarnowskie Góry, Polska";"biuro@tuban.pl";"+48 32 285 04 00";5
"Majorette";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";5
"Niko";"Grupo Zielona Sowa Sp. z o.o.";"ul. Reja 3, 80-404 Gdańsk, Polska";"biuro@zielonasowa.pl";"+48 58 340 53 53";5
"Creatinio";"Michalczyk i Prokop Sp. z o.o.";"ul. Trakt Brzeski 1, 05-070 Sulejówek, Polska";"biuro@mip.com.pl";"";5
"inny";"";"";"";"";5
"MARMAR";"Marmar Sp. z o.o.";"ul. Przemysłowa 14, 32-050 Skawina, Polska";"marmar@marmar.pl";"";5
"Eugeniusz Kamiński "KAMET"";"Kamet Eugeniusz Kamiński";"ul. Parkowa 12, 05-270 Marki, Polska";"";"";5
"Brother";"Brother Industries, Ltd.";"1-1-1 Kawagishi, Mizuho-ku, Nagoya 467-8561, Japan";"info@brother.pl";"+48 22 318 03 00";5
"Dymo";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";5
"Flamingo";"Flamingo Sp. z o.o.";"ul. Przemysłowa 3, 44-190 Knurów, Polska";"biuro@flamingo-line.pl";"";5
"FIRMA PRODUKCYJNO HANDLOWA ZACHEM Tadeusz GŁOWALA";"F.P.H. ZACHEM Tadeusz Głowala";"ul. Polna 15, 87-162 Lubicz Dolny, Polska";"zachem@zachem.com.pl";"";5
"POL";"";"";"";"";4
"Amos";"";"";"";"";4
"MAR-BOR";"P.P.H.U. MAR-BOR";"ul. 1 Maja 43, 42-262 Poczesna, Polska";"biuro@mar-bor.pl";"";4
"Poligraf";"Poligraf IS sp. j.";"ul. Mickiewicza 21, 32-050 Skawina, Polska";"biuro@poligraf-is.pl";"";4
"CX DYSTRYBUCJA SP. Z O.O.";"CX Dystrybucja Sp. z o.o.";"ul. Chwaszczyńska 129, 81-571 Gdynia, Polska";"biuro@cx.pl";"";4
"Energizer";"Energizer Holdings, Inc.";"533 Maryville University Drive, St. Louis, MO 63141, USA";"consumer@energizer.com";"+1 800 383 7323";4
"Disney";"The Walt Disney Company (Benelux) B.V.";"De Passage 144, 1101 AX Amsterdam, Netherlands";"";"";4
"Tymos";"Tymos Sp. z o.o.";"ul. Robotnicza 1, 55-095 Mirków, Polska";"biuro@tymos.pl";"";4
"Drescher";"";"";"";"";4
"Koma-Plast";"Koma-Plast Sp. z o.o.";"ul. Ceramiczna 1, 20-150 Lublin, Polska";"biuro@komaplast.pl";"";4
"Schneider";"Schneider Schreibgeräte GmbH";"Schwarzenbach 1, 78147 Vöhrenbach, Deutschland";"info@schneiderpen.com";"+49 7727 7280";4
"F.H.U.  JU-PITER ALICJA ŁUKASIAK";"F.H.U. Ju-Piter Jacek Łukasiak";"Łódź, Polska";"";"";4
"DAFFI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Dromader Sp. z o.o.";"ul. Targowa 72, 03-734 Warszawa, Polska";"biuro@dromader.pl";"+48 22 619 25 00";4
"KRIS-TEAM";"Kris-Team Sp. z o.o.";"ul. Polna 14, 05-800 Pruszków, Polska";"biuro@kris-team.pl";"";4
"CUB";"Cubatex Sp. z o.o.";"ul. Dębowa 6, 05-806 Komorów, Polska";"biuro@cubatex.pl";"";4
"AstraBag";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";4
"Brewis";"Brewis Sp. z o.o.";"ul. Trzcienna 42, 05-092 Łomianki, Polska";"biuro@brewis.pl";"";4
"NERF";"Hasbro European Trading B.V.";"Passage 234, 1101 AX Amsterdam Zuidoost, Netherlands";"consumer_affairs@hasbro.co.uk";"+44 800 227 228";4
"ART AND PLAY";"Artix Sp. z o.o.";"ul. Okólna 45, 05-270 Marki, Polska";"biuro@artix.pl";"";4
"Jan Niezbędny";"Sarantis Polska S.A.";"";"kontakt@sarantis.pl";"+48 22 535 02 00";4
"Panini";"Panini S.p.A.";"Via Emilio Po 380, 41126 Modena, Italia";"info@panini.it";"+39 059 382 111";4
"Anna Zaradna";"Stella Pack S.A.";"ul. Krańcowa 67, 21-100 Lubartów, Polska";"stella@stella.com.pl";"";3
"Trodat";"Trodat Sp. z o.o.";"ul. Marsa 56A, 04-242 Warszawa, Polska";"info@trodat.pl";"+48 22 610 09 53";3
"PIONIER";"Pionier J. i M. Wyrozumscy";"ul. Grzybowska 2, 00-131 Warszawa, Polska";"biuro@pionier.pl";"";3
"Vaupe";"VAUPE Sp. z o.o.";"ul. Marszałkowska 3/5, 00-624 Warszawa, Polska";"vaupe@vaupe.pl";"+48 22 628 47 94";3
"Hero";"Amex Stationery Sp. z o.o.";"ul. Słoneczna 2, 62-021 Paczkowo, Polska";"amex@amex.com.pl";"";3
"Tadeo Trading";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";3
"Bi-Office";"Bi-silque S.A.";"R. das Lavandisqueiras 460, 4520-691 Espargo VFR, Portugal";"info@bisilque.com";"+351 256 370 500";3
"Noris";"Noris Spiele Georg Reulein GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";3
"Piatnik";"Ferdinand Piatnik & Söhne";"Hütteldorfer Straße 229-231, 1140 Wien, Österreich";"office@piatnik.com";"+43 1 914 41 51";3
"Enchantimals";"Mattel, Inc.";"333 Continental Blvd, El Segundo, CA 90245, USA";"consumer.services@mattel.com";"+1 800 524 8697";3
"Avery-Zweckform";"Avery Zweckform GmbH";"Ernst-Abbe-Straße 26, 85540 Haar, Deutschland";"info@avery-zweckform.de";"+49 89 436 80 0";3
"PANTA-PLAST SP. Z O.O.";"Panta-Plast Sp. z o.o.";"ul. Opłotki 5, 03-984 Warszawa, Polska";"biuro@panta-plast.pl";"+48 22 515 30 00";3
"CARTAMUNDI CARDS POLAND SP. z O.O.";"Cartamundi Polska Sp. z o.o.";"ul. Szarych Szeregów 26, 60-462 Kraków, Polska";"info@cartamundi.com";"+48 12 253 40 00";3
"TRENDHAUS HANDELSGESELLSCHAFT MBH";"Trendhaus Handelsgesellschaft mbH";"Mistelweg 10, 92318 Neumarkt, Deutschland";"info@trendhaus-germany.de";"";3
"L.O.L. Surprise";"MGA Entertainment, Inc.";"9220 Winnetka Avenue, Chatsworth, CA 91311, USA";"consumer@mgae.com";"+1 800 222 4685";3
"Cresco";"Tadeo Trading Sp. z o.o.";"ul. Nowogrodzka 31, 00-511 Warszawa, Polska";"biuro@tadeo.pl";"+48 22 625 61 10";3
"Portal Games";"Portal Games Sp. z o.o.";"ul. Batorego 2, 78-400 Szczecinek, Polska";"biuro@portalgames.pl";"+48 94 374 31 08";3
"DERFORM SP. J.       NIE PISAĆ";"Derform Sp. z o.o.";"ul. Łąkowa 11, 83-010 Straszyn, Polska";"biuro@derform.pl";"+48 58 741 15 11";3
"DROMADER";"Dromader Sp. z o.o.";"ul. Targowa 72, 03-734 Warszawa, Polska";"biuro@dromader.pl";"+48 22 619 25 00";3
"Mondo";"Mondo S.p.A.";"Via del Cotonificio 96, 33100 Udine, Italia";"info@mondoworld.it";"+39 0432 629 411";3
"MALIMAS";"Malimas Sp. z o.o.";"Polska";"";"";3
"Jada";"Jada Toys, Inc.";"16628 Marquardt Ave, Cerritos, CA 90703, USA";"info@jadatoys.com";"+1 714 562 0707";3
"Stella";"Stella Pack S.A.";"";"biuro@stellapack.com";"+48 34 353 18 00";3
"Goo Jit Zu";"Moose Toys";"29 Grange Rd, Cheltenham VIC 3192, Australia";"info@moosetoys.com";"";3
"National Geographic";"National Geographic Partners LLC";"Washington, DC, USA";"";"";3
"Forpus";"Forpus UAB";"Didžioji g. 28, 01128 Vilnius, Lithuania";"info@forpus.lt";"+370 5 264 7373";3
"Aurora";"Aurora World UK Ltd (Dystr. PL)";"ul. Północna 1, 42-240 Rudniki, Polska";"info@auroraworld.pl";"";3
"Asus";"AB S.A.";"ul. Europejska 15, 55-040 Magnice, Polska";"gpsr@ab.pl";"";3
"ŚWIAT SPINEK";"Świat Spinek s.c.";"ul. Krakowska 50, 32-065 Krzeszowice, Polska";"biuro@swiatspinek.pl";"";3
"Deli";"Deli Group Co., Ltd.";"No. 2586 Chaoyun East Road, Ninghai, Zhejiang 315600, China";"deli@dfreli.com";"+86 574 65591888";3
"Office";"PBS Connect Polska Sp. z o.o.";"ul. Annopol 4a, 03-236 Warszawa, Polska";"biuro@pbsconnect.pl";"";3
"MK Trade";"MK Trade Sp. z o.o.";"ul. Zielona 4, 05-822 Milanówek, Polska";"biuro@mktrade.pl";"";3
"POSCA";"Mitsubishi Pencil Co., Ltd.";"5-23-37 Higashiohi, Shinagawa-ku, Tokyo 140-8537, Japan";"info@uniball.eu";"";3
"inna (Inny)";"";"";"";"";3
"Go Party";"Arpex Sp. z o.o.";"ul. Gliwicka 20, 44-145 Pilchowice, Polska";"biuro@arpex.com.pl";"";3
"Grafix";"Russell Polska Sp. z o.o.";"ul. Kościuszki 115, 85-079 Bydgoszcz, Polska";"biuro@russell.pl";"";3
"Kanex";"Amex Stationery Sp. z o.o.";"ul. Słoneczna 2, 62-021 Paczkowo, Polska";"amex@amex.com.pl";"";3
"St.Right";"St. Majewski Sp. z o.o. Sp. k.";"ul. Kredkowa 1, 05-800 Pruszków, Polska";"st-majewski@st-majewski.pl";"+48 22 758 70 41";3
"KIEL-TECH  SP.Z.O.O";"Kiel-Tech Sp. z o.o.";"ul. Ściegiennego 252, 25-116 Kielce, Polska";"biuro@kiel-tech.pl";"";3
"Konica minolta";"Konica Minolta Business Solutions Polska Sp. z o.o.";"ul. Muszkieterów 15, 02-273 Warszawa, Polska";"info@konicaminolta.pl";"+48 22 444 40 00";3
"Natalia";"";"";"";"";2
"Heykka";"Hamelin Polska Sp. z o.o.";"ul. Ryżowa 49, 02-495 Warszawa, Polska";"pl.info@hamelinbrands.com";"";2
"ARTYK ŁÓDŹ";"Artyk Sp. z o.o.";"ul. Demokratyczna 46, 93-430 Łódź, Polska";"biuro@artyk.com.pl";"+48 42 684 42 42";2
"Esperanza";"EDC Poterek Sp. J.";"ul. Poznańska 129/133, 05-850 Ożarów Maz., Polska";"info@esperanza.pl";"";2
"VelvetCARE";"Velvet CARE Sp. z o.o.";"Klucze-Osada 3, 32-310 Klucze, Polska";"biuro@velvetcare.com";"";2
"Artea";"Hamelin Polska Sp. z o.o.";"ul. Ryżowa 49, 02-495 Warszawa, Polska";"pl.info@hamelinbrands.com";"";2
"Faber-castell";"Faber-Castell Aktiengesellschaft";"Nürnberger Straße 2, 90546 Stein, Deutschland";"info@faber-castell.de";"+49 911 9965 0";2
"Lancer";"Biuro-Land Sp. j.";"ul. Polna 14, 05-800 Pruszków, Polska";"biuro@biuroland.pl";"";2
"Maestro";"Biuro-Land Sp. j.";"ul. Polna 14, 05-800 Pruszków, Polska";"biuro@biuroland.pl";"";2
"AG";"";"";"";"";2
"Bic Kids";"BIC Polska Sp. z o.o.";"ul. Domaniewska 49, 02-672 Warszawa, Polska";"kontakt@bicworld.com";"+48 22 606 36 00";2
"MGA";"MGA Entertainment, Inc.";"9220 Winnetka Avenue, Chatsworth, CA 91311, USA";"consumer@mgae.com";"+1 800 222 4685";2
"Tierra";"Titanum Sp. z o.o.";"ul. Garbarska 16, 20-340 Lublin, Polska";"biuro@titanum.pl";"+48 81 743 04 00";2
"Elmer's";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";2
"4F";"OTCF S.A.";"ul. Saska 25C, 30-720 Kraków, Polska";"bok@otcf.pl";"";2
"Hot Wheels";"Mattel, Inc.";"333 Continental Blvd, El Segundo, CA 90245, USA";"consumer.services@mattel.com";"+1 800 524 8697";2
"3Z";"3Z Zieliński Żelewski Sp. K.";"ul. Puławska 435, 02-801 Warszawa, Polska";"biuro@3z.com.pl";"";2
"Ico";"ICO Sp. z o.o.";"ul. Słoneczna 2, 62-021 Paczkowo, Polska";"biuro@icopoland.pl";"";2
"Drobiazgarnia";"Drobiazgarnia.pl Sp. z o.o.";"ul. Sadowa 39, 42-200 Częstochowa, Polska";"biuro@drobiazgarnia.pl";"";2
"Lacerta";"Wydawnictwo Lacerta";"ul. Januszowicka 11/1, 53-135 Wrocław, Polska";"sklep@lacerta.pl";"";2
"Toor";"Toor Sp. z o.o.";"ul. Okrzei 15, 25-525 Kielce, Polska";"biuro@toor.pl";"";2
"Eichhorn";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";2
"METEOR CEE POLAND S.A";"METEOR CEE POLAND S.A.";"ul. Sadowa 39, 42-200 Częstochowa, Polska";"bok@meteor.pl";"";2
"NET S.C.";"Net s.c. G. Pawlak, M. Pawlak";"ul. Sadowa 39, 42-200 Częstochowa, Polska";"biuro@net-sc.pl";"";2
"Pelikan";"Pelikan Vertriebsgesellschaft mbH & Co. KG";"Werftstraße 9, 30163 Hannover, Deutschland";"info@pelikan.com";"+49 511 6969 0";2
"Inna|Evos";"";"";"";"";2
"Fun&Joy";"Euro-Trade Sp. z o.o. Sp. k.";"ul. Łokietka 155, 31-263 Kraków, Polska";"biuro@euro-trade.pl";"";2
"Michalczyk";"Michalczyk i Prokop Sp. z o.o.";"ul. Szkolna 5, 32-020 Wieliczka, Polska";"handlowy@mfrip.pl";"+48 12 278 19 00";2
"Rexus";"Rexus Sp. z o.o.";"ul. Robotnicza 1, 55-095 Mirków, Polska";"kontakt@rexus.pl";"";2
"Play-Doh";"Hasbro European Trading B.V.";"Passage 234, 1101 AX Amsterdam Zuidoost, Netherlands";"consumer_affairs@hasbro.co.uk";"+44 800 227 228";2
"1DEA.me";"1DEA.me (Dystr. Nice Idea)";"ul. Sosnowa 7, 05-807 Podkowa Leśna, Polska";"biuro@niceidea.pl";"";2
"astra papiernicze";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";2
"Wader";"Wader-Woźniak Sp. z o.o.";"";"wader@wader.info.pl";"+48 61 810 98 80";2
"Rebel";"Rebel Sp. z o.o.";"ul. Budowlanych 7, 80-298 Gdańsk, Polska";"rebel@rebel.pl";"";2
"Memoboards";"2x3 S.A.";"ul. Poznańska 58, 74-100 Gryfino, Polska";"info@2x3.pl";"";2
"inny|Top 2000";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";2
"3M";"3M Poland Sp. z o.o.";"Al. Katowicka 117, 05-830 Nadarzyn, Polska";"innovation.pl@mmm.com";"+48 22 739 60 00";2
"Max Sport";"Max Sport Sp. z o.o.";"ul. Dekerta 24, 30-703 Kraków, Polska";"bok@maxsport.pl";"";2
"MG Home";"ZPC "Vigo" Sp. z o.o.";"ul. Garażowa 4, 02-651 Warszawa, Polska";"biuro@mghome.pl";"";2
"Pilsan";"Pilsan Toys (Dystr: Rekman)";"ul. Fabryczna 14, 53-609 Wrocław, Polska";"biuro@rekman.com.pl";"";2
"MSpa";"MSpa Polska";"ul. Karczunkowska 42, 02-871 Warszawa, Polska";"info@mspa.pl";"";2
"GDD Grupa Dystrybucyjna Daccar";"Grupa Dystrybucyjna Daccar Sp. z o.o.";"ul. Hetmańska 38, 85-039 Bydgoszcz, Polska";"biuro@gfrupa-daccar.pl";"+48 52 346 32 00";2
"MAREK SP. Z O.O.";"Marek Sp. z o.o.";"Polska";"";"";2
"Majewski";"St. Majewski Sp. z o.o. Sp. k.";"ul. Kredkowa 1, 05-800 Pruszków, Polska";"st-majewski@st-majewski.pl";"+48 22 758 70 41";2
"HASBRO POLAND SP. Z O.O.";"Hasbro European Trading B.V.";"Passage 234, 1101 AX Amsterdam Zuidoost, Netherlands";"consumer_affairs@hasbro.co.uk";"+44 800 227 228";2
"ASTRA Jacek T. Pazik";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";2
"HDPE";"Fol-Plast Sp. j.";"ul. Przemysłowa 5, 05-074 Halinów, Polska";"biuro@folplast.com.pl";"";2
"MAT GROUP SPÓŁKA CYWILNA JACEK POŻARLIK I DOMINI";"MAT GROUP s.c.";"ul. Myśliwska 5, 32-050 Skawina, Polska";"biuro@matgroup.pl";"";2
"TOTAL OFFICE TRADING";"Total Office Trading Sp. z o.o.";"ul. Puławska 303, 02-785 Warszawa, Polska";"biuro@totaloffice.pl";"";2
"BIGO";"Bigo Sp. z o.o.";"ul. Sokołowska 38, 05-806 Sokołów, Polska";"biuro@bigo.com.pl";"+48 22 729 77 30";2
"AMEX STATIONERY SP. Z O.O.";"Amex Stationery Sp. z o.o.";"ul. Słoneczna 2, 62-021 Paczkowo, Polska";"amex@amex.com.pl";"";2
"SPINMASTER";"Spin Master Ltd.";"225 King Street West, Suite 200, Toronto, Ontario M5V 3M2, Canada";"info@spinmaster.com";"+1 416 364 6002";2
"Art And Play";"Artix Sp. z o.o.";"ul. Okólna 45, 05-270 Marki, Polska";"biuro@artix.pl";"";2
"Simba Toys";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";2
"360";"";"";"";"";1
"inna|MALIMAS";"Malimas Sp. z o.o.";"Polska";"";"";1
"grand";"Grand Sp. j.";"ul. Elbląska 15/17, 01-747 Warszawa, Polska";"biuro@grand.com.pl";"+48 22 633 31 33";1
"Doris";"Lean Toys";"ul. Północna 1, 42-240 Rudniki, Polska";"biuro@leantoys.com";"";1
"Epee";"EPEE Polska Sp. z o.o.";"ul. Lutyckfra 4B, 60-592 Poznań, Polska";"biuro@epee.pl";"+48 61 662 38 00";1
"TETIS";"Czapska Sp. k.";"ul. Sokołowska 38, 05-806 Sokołów, Polska";"biuro@tetis.pl";"+48 22 729 77 77";1
"Van Manen";"";"";"";"";1
"Format";"";"";"";"";1
"Mikro Trading";"Mikro Trading S.A.";"Podivín 991, 691 45 Podivín, Česká republika";"info@mikrotrading.cz";"";1
"Craft";"Titanum Sp. z o.o.";"ul. Puławska 435, 02-801 Warszawa, Polska";"biuro@titanum.pl";"";1
"Yn-Teen";"";"";"";"";1
"HC";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";1
"AS";"AS-FPHU Artur Szafraniec";"ul. Balicka 56, 30-149 Kraków, Polska";"biuro@as-zabawek.pl";"";1
"TM-TOYS SP. ZO.O.";"TM Toys Sp. z o.o.";"ul. Emilii Plater 53, 00-113 Warszawa, Polska";"biuro@tmtoys.pl";"+48 22 465 96 11";1
"Kraft";"";"";"";"";1
"Świat Spinek";"Świat Spinek s.c.";"ul. Krakowska 50, 32-065 Krzeszowice, Polska";"biuro@swiatspinek.pl";"";1
"Visual System";"ODDK Visual System Jerzy Marcinek";"ul. Heila 2, 80-299 Gdańsk, Polska";"biuro@visualsystem.pl";"";1
"Omeko";"Omeko Sp. z o.o.";"ul. Piekarnicza 1, 80-126 Gdańsk, Polska";"biuro@omeko.pl";"";1
"DISTRI SP.Z O.O.";"Norimpex Sp. z o.o.";"ul. Kilińskiego 2, 05-240 Tłuszcz, Polska";"biuro@norimpex.pl";"";1
"iDesign";"iDesign Sp. z o.o.";"ul. Puławska 303, 02-785 Warszawa, Polska";"office@idesign.pl";"";1
"Meto";"Meto International GmbH";"Ersheimer Str. 69, 69434 Hirschhorn, Deutschland";"info@meto.com";"";1
"Merlando";"Merlando Sp. z o.o.";"ul. Balicka 56, 30-149 Kraków, Polska";"biuro@merlando.pl";"";1
"Incood";"Incood Sp. z o.o.";"ul. Metalowców 1, 41-500 Chorzów, Polska";"biuro@incood.pl";"";1
"BRANDED. ŚLIWIŃSKI SPÓŁKA KOMANDYTOWA";"Lean Toys";"ul. Północna 1, 42-240 Rudniki, Polska";"biuro@leantoys.com";"";1
"AMEET POLSKA";"Egmont Polska Sp. z o.o.";"ul. Dzielna 60, 01-029 Warszawa, Polska";"egmont@egmont.pl";"+48 22 838 41 00";1
"NC Koperty";"NC Koperty Sp. z o.o.";"ul. Myśliwska 3, 43-175 Wyry, Polska";"biuro@nckoperty.pl";"";1
"Iwako";"";"";"";"";1
"Silver";"PBS Connect Polska Sp. z o.o.";"ul. Annopol 4a, 03-236 Warszawa, Polska";"biuro@pbsconnect.pl";"";1
"IQ Color";"Mondi Paper Sales GmbH";"Marxergasse 4A, 1030 Vienna, Österreich";"service.paper@mondigroup.com";"";1
"kukartka";"Passion Cards Sp. z o.o.";"ul. Bukowska 148, 60-198 Poznań, Polska";"biuro@passion.com.pl";"";1
"Omega";"Platinet S.A.";"ul. Galicyjska 12, 31-586 Kraków, Polska";"export@platinet.eu";"";1
"Escuela";"Escuela Sp. z o.o.";"ul. Metalowców 1, 41-500 Chorzów, Polska";"biuro@escuela.pl";"";1
"Centrum";"Centrum Sp. z o.o.";"ul. Północna 1, 42-240 Rudniki, Polska";"biuro@centrum-polska.pl";"";1
"Mona";"Mona Sp. z o.o.";"ul. Gdyńska 25, 80-209 Tuchom, Polska";"biuro@mona.pl";"";1
"Verte";"Grupa Inco S.A.";"ul. Wspólna 25, 00-519 Warszawa, Polska";"info@inco.pl";"";1
"Alexander";"Alexander Sp. z o.o.";"ul. Spacerowa 38, 83-110 Tczew, Polska";"biuro@alexander.com.pl";"+48 58 531 20 95";1
"Polesie";"Polesie Sp. z o.o. / Polesie JSC";"ul. 1-aya Stroyevaya, Minsk region, Belarus";"";"";1
"Sferazabawek";"Sfera Zabawek Sp. z o.o.";"ul. Balicka 56, 30-149 Kraków, Polska";"biuro@sferazabawek.pl";"";1
