"Kategoria Mamezi";"Reguła mapowania";"Slug WBTrade";"Kategoria WBTrade (opis)";"Status"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania/Płyny Do Prania";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania";"higiena-i-utrzymanie-czystosci";"Środki do prania (kapsułki, proszki, płyny, odplamiacze) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania/Proszki do prania";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do prania";"higiena-i-utrzymanie-czystosci";"Środki do prania (kapsułki, proszki, płyny, odplamiacze) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Czyściki do zmywarki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Nabłyszczacze do zmywarki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Płyny do naczyń";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Sole do zmywarki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Tabletki do zmywarki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Zapachy do zmywarki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania/Żele i proszki do zmywarki";"FIRMA I BIURO/Utrzymanie czystości/Chemia gospodarcza/Środki do zmywania";"higiena-i-utrzymanie-czystosci";"Środki do zmywarki (tabletki, sole, nabłyszczacze, płyny) → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chemia profesjonalna";"FIRMA I BIURO/Utrzymanie czystości/Chemia profesjonalna";"chemia-dla-gastronomii";"Chemia profesjonalna → Chemia profesjonalna > Chemia dla gastronomii";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chusteczki higieniczne";"FIRMA I BIURO/Utrzymanie czystości/Chusteczki higieniczne";"higiena-i-utrzymanie-czystosci";"Chusteczki higieniczne → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Chusteczki nawilżane";"FIRMA I BIURO/Utrzymanie czystości/Chusteczki nawilżane";"higiena-i-utrzymanie-czystosci";"Chusteczki nawilżane → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Gąbki, zmywaki, druciaki";"FIRMA I BIURO/Utrzymanie czystości/Gąbki, zmywaki, druciaki";"higiena-i-utrzymanie-czystosci";"Gąbki, zmywaki → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Kosze na śmieci";"FIRMA I BIURO/Utrzymanie czystości/Kosze na śmieci";"higiena-i-utrzymanie-czystosci";"Kosze na śmieci → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Miotły, zmiotki i szufelki";"FIRMA I BIURO/Utrzymanie czystości/Miotły, zmiotki i szufelki";"higiena-i-utrzymanie-czystosci";"Miotły, zmiotki → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Mopy i Wkłady";"FIRMA I BIURO/Utrzymanie czystości/Mopy i Wkłady";"higiena-i-utrzymanie-czystosci";"Mopy → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Odkurzacze";"FIRMA I BIURO/Utrzymanie czystości/Odkurzacze";"sprzet-agd";"Odkurzacze → Dom > Sprzęt AGD";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Papier toaletowy";"FIRMA I BIURO/Utrzymanie czystości/Papier toaletowy";"higiena-i-utrzymanie-czystosci";"Papier toaletowy → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Ściągaczki";"FIRMA I BIURO/Utrzymanie czystości/Ściągaczki";"higiena-i-utrzymanie-czystosci";"Ściągaczki → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Ścierki i ręczniki";"FIRMA I BIURO/Utrzymanie czystości/Ścierki i ręczniki";"higiena-i-utrzymanie-czystosci";"Ścierki i ręczniki → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Wiadra";"FIRMA I BIURO/Utrzymanie czystości/Wiadra";"higiena-i-utrzymanie-czystosci";"Wiadra → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Worki na śmieci";"FIRMA I BIURO/Utrzymanie czystości/Worki na śmieci";"higiena-i-utrzymanie-czystosci";"Worki na śmieci → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Utrzymanie czystości/Wózki serwisowe";"FIRMA I BIURO/Utrzymanie czystości/Wózki serwisowe";"higiena-i-utrzymanie-czystosci";"Wózki serwisowe → Gastronomia > Higiena i utrzymanie czystości";"OK"
"FIRMA I BIURO/Wyposażenie/Klimatory";"FIRMA I BIURO/Wyposażenie/Klimatory";"energia-i-ogrzewanie";"Klimatory → Dom > Energia i ogrzewanie";"OK"
"FIRMA I BIURO/Wyposażenie/Klimatyzatory";"FIRMA I BIURO/Wyposażenie/Klimatyzatory";"energia-i-ogrzewanie";"Klimatyzatory → Dom > Energia i ogrzewanie";"OK"
"FIRMA I BIURO/Wyposażenie/Pojemniki";"FIRMA I BIURO/Wyposażenie/Pojemniki";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Pojemniki → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"FIRMA I BIURO/Wyposażenie/Pompy ciepła";"FIRMA I BIURO/Wyposażenie/Pompy ciepła";"energia-i-ogrzewanie";"Pompy ciepła → Dom > Energia i ogrzewanie";"OK"
"FIRMA I BIURO/Wyposażenie/Regały";"FIRMA I BIURO/Wyposażenie/Regały";"wyposazenie-lokali";"Regały → Gastronomia > Wyposażenie lokali";"OK"
"FIRMA I BIURO/Wyposażenie/Wagi";"FIRMA I BIURO/Wyposażenie/Wagi";"wagi-przemyslowe";"Wagi → Wagi > Wagi przemysłowe";"OK"
"FIRMA I BIURO/Wyposażenie/Wentylatory Domowe";"FIRMA I BIURO/Wyposażenie/Wentylatory Domowe";"energia-i-ogrzewanie";"Wentylatory domowe → Dom > Energia i ogrzewanie";"OK"
"MOTORYZACJA/Chemia/Kleje";"MOTORYZACJA/Chemia/Kleje";"chemia-samochodowa";"Kleje samochodowe → Chemia profesjonalna > Chemia samochodowa";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Diagnostyka i pomiary/Testery i interfejsy diagnostyczne";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Diagnostyka i pomiary";"wyposazenie-warsztatu-bl-2845103";"Testery diagnostyczne → Motoryzacja > Wyposażenie warsztatu";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Klucze";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Klucze";"narzedzia-reczne";"Klucze → Narzędzia > Narzędzia ręczne";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Kompresory i akcesoria/Węże pneumatyczne";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Kompresory i akcesoria";"maszyny-i-urzadzenia";"Kompresory i węże pneumatyczne → Narzędzia > Maszyny i urządzenia";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Leżanki";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Leżanki";"wyposazenie-warsztatu-bl-2845103";"Leżanki warsztatowe → Motoryzacja > Wyposażenie warsztatu";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Obsługa układu hamulcowego/Wymiana i odpowietrzanie płynu";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Obsługa układu hamulcowego";"wyposazenie-warsztatu-bl-2845103";"Obsługa hamulców → Motoryzacja > Wyposażenie warsztatu";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Organizacja i przechowywanie narzędzi/Opaski magnetyczne";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Organizacja i przechowywanie narzędzi";"narzedzia-reczne";"Opaski magnetyczne → Narzędzia > Narzędzia ręczne";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Oświetlenie/Latarki";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Oświetlenie/Latarki";"oswietlenie-domowe";"Latarki → Dom > Oświetlenie (domowe)";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Tablice narzędziowe";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Tablice narzędziowe";"narzedzia-reczne";"Tablice narzędziowe → Narzędzia > Narzędzia ręczne";"OK"
"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Zestawy Naprawcze";"MOTORYZACJA/Narzędzia i sprzęt warsztatowy/Zestawy Naprawcze";"narzedzia-reczne";"Zestawy naprawcze → Narzędzia > Narzędzia ręczne";"OK"
"MOTORYZACJA/Opony i felgi/Osprzęt i akcesoria/Łańcuchy śniegowe";"MOTORYZACJA/Opony i felgi/Osprzęt i akcesoria";"akcesoria-i-czesci";"Łańcuchy śniegowe, nakrętki → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Opony i felgi/Osprzęt i akcesoria/Nakrętki";"MOTORYZACJA/Opony i felgi/Osprzęt i akcesoria";"akcesoria-i-czesci";"Łańcuchy śniegowe, nakrętki → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Do przyczep i naczep";"MOTORYZACJA/Wyposażenie/Do przyczep i naczep";"akcesoria-i-czesci";"Do przyczep i naczep → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Elektronika samochodowa/Lodówki turystyczne";"MOTORYZACJA/Wyposażenie/Elektronika samochodowa/Lodówki turystyczne";"kemping-i-przetrwanie";"Lodówki turystyczne → Sport i turystyka > Kemping i przetrwanie";"OK"
"MOTORYZACJA/Wyposażenie/Lusterka";"MOTORYZACJA/Wyposażenie/Lusterka";"akcesoria-i-czesci";"Lusterka samochodowe → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Maty i Pokrowce";"MOTORYZACJA/Wyposażenie/Maty i Pokrowce";"akcesoria-i-czesci";"Maty i pokrowce samochodowe → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Ochraniacze";"MOTORYZACJA/Wyposażenie/Ochraniacze";"akcesoria-i-czesci";"Ochraniacze → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Odkurzacze samochodowe";"MOTORYZACJA/Wyposażenie/Odkurzacze samochodowe";"akcesoria-i-czesci";"Odkurzacze samochodowe → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Organizery i siatki do bagażnika";"MOTORYZACJA/Wyposażenie/Organizery i siatki do bagażnika";"akcesoria-i-czesci";"Organizery bagażnika → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Osłony na szyby";"MOTORYZACJA/Wyposażenie/Osłony na szyby";"akcesoria-i-czesci";"Osłony na szyby → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Pasy transportowe";"MOTORYZACJA/Wyposażenie/Pasy transportowe";"akcesoria-i-czesci";"Pasy transportowe → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Popielniczki";"MOTORYZACJA/Wyposażenie/Popielniczki";"akcesoria-i-czesci";"Popielniczki samochodowe → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Tachografy";"MOTORYZACJA/Wyposażenie/Tachografy";"akcesoria-i-czesci";"Tachografy → Motoryzacja > Akcesoria i części";"OK"
"MOTORYZACJA/Wyposażenie/Uchwyty, wieszaki";"MOTORYZACJA/Wyposażenie/Uchwyty, wieszaki";"uchwyty-samochodowe";"Uchwyty i wieszaki samochodowe → Motoryzacja > Uchwyty samochodowe";"OK"
"NARZĘDZIA/Imbusy";"NARZĘDZIA/Imbusy";"narzedzia-reczne";"Imbusy → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Kompresory i akcesoria/Pistolety pneumatyczne";"NARZĘDZIA/Kompresory i akcesoria";"maszyny-i-urzadzenia";"Kompresory, pistolety pneumatyczne → Narzędzia > Maszyny i urządzenia";"OK"
"NARZĘDZIA/Młotki, przecinaki i dłuta";"NARZĘDZIA/Młotki, przecinaki i dłuta";"narzedzia-reczne";"Młotki, przecinaki, dłuta → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Noże";"NARZĘDZIA/Noże";"narzedzia-reczne";"Noże → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Opalarki";"NARZĘDZIA/Opalarki";"elektronarzedzia";"Opalarki → Narzędzia > Elektronarzędzia";"OK"
"NARZĘDZIA/Opaski zaciskowe";"NARZĘDZIA/Opaski zaciskowe";"akcesoria-1";"Opaski zaciskowe → Narzędzia > Akcesoria";"OK"
"NARZĘDZIA/Palniki gazowe";"NARZĘDZIA/Palniki gazowe";"narzedzia-reczne";"Palniki gazowe → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Piły i pilarki/Szyny prowadzące";"NARZĘDZIA/Piły i pilarki";"elektronarzedzia";"Piły i pilarki → Narzędzia > Elektronarzędzia";"OK"
"NARZĘDZIA/Pistolety do kleju";"NARZĘDZIA/Pistolety do kleju";"narzedzia-reczne";"Pistolety do kleju → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Przyrządy miernicze/Miary i taśmy";"NARZĘDZIA/Przyrządy miernicze";"narzedzia-reczne";"Miary, taśmy, suwmiarki → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Przyrządy miernicze/Suwmiarki";"NARZĘDZIA/Przyrządy miernicze";"narzedzia-reczne";"Miary, taśmy, suwmiarki → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Wózki narzędziowe";"NARZĘDZIA/Wózki narzędziowe";"narzedzia-reczne";"Wózki narzędziowe → Narzędzia > Narzędzia ręczne";"OK"
"NARZĘDZIA/Wózki transportowe";"NARZĘDZIA/Wózki transportowe";"maszyny-i-urzadzenia";"Wózki transportowe → Narzędzia > Maszyny i urządzenia";"OK"
"NARZĘDZIA/Zestawy narzędzi";"NARZĘDZIA/Zestawy narzędzi";"narzedzia-reczne";"Zestawy narzędzi → Narzędzia > Narzędzia ręczne";"OK"
"SPORT I TURYSTYKA/Rowery i akcesoria/Oświetlenie rowerowe";"SPORT I TURYSTYKA/Rowery i akcesoria";"rowery-i-akcesoria";"Oświetlenie, przyczepki, trenażery → Sport i turystyka > Rowery i akcesoria";"OK"
"SPORT I TURYSTYKA/Rowery i akcesoria/Przyczepki rowerowe";"SPORT I TURYSTYKA/Rowery i akcesoria";"rowery-i-akcesoria";"Oświetlenie, przyczepki, trenażery → Sport i turystyka > Rowery i akcesoria";"OK"
"SPORT I TURYSTYKA/Rowery i akcesoria/Trenażery";"SPORT I TURYSTYKA/Rowery i akcesoria";"rowery-i-akcesoria";"Oświetlenie, przyczepki, trenażery → Sport i turystyka > Rowery i akcesoria";"OK"
"SPORT I TURYSTYKA/Siłownia i fitness/Rowery treningowe";"SPORT I TURYSTYKA/Siłownia i fitness";"fitness-i-trening";"Rowery treningowe → Sport i turystyka > Fitness i trening";"OK"
"SPORT I TURYSTYKA/Sporty wodne/SUP";"SPORT I TURYSTYKA/Sporty wodne";"sprzet-turystyczny";"SUP → Sport i turystyka > Sprzęt turystyczny";"OK"
"SPORT I TURYSTYKA/Turystyka/Akcesoria/Pompki";"SPORT I TURYSTYKA/Turystyka";"kemping-i-przetrwanie";"Akcesoria turystyczne, naczynia, prysznice → Sport i turystyka > Kemping i przetrwanie";"OK"
"SPORT I TURYSTYKA/Turystyka/Naczynia";"SPORT I TURYSTYKA/Turystyka";"kemping-i-przetrwanie";"Akcesoria turystyczne, naczynia, prysznice → Sport i turystyka > Kemping i przetrwanie";"OK"
"SPORT I TURYSTYKA/Turystyka/Prysznice turystyczne";"SPORT I TURYSTYKA/Turystyka";"kemping-i-przetrwanie";"Akcesoria turystyczne, naczynia, prysznice → Sport i turystyka > Kemping i przetrwanie";"OK"
"ZABAWKI/Gry/Karciane/Dla Dorosłych";"ZABAWKI/Gry/Karciane";"gry-edukacyjne-i-planszowe";"Gry karciane → Dla dziecka > Gry edukacyjne i planszowe";"OK"
"ZABAWKI/Gry/Kości";"ZABAWKI/Gry/Kości";"gry-edukacyjne-i-planszowe";"Gry w kości → Dla dziecka > Gry edukacyjne i planszowe";"OK"
"ZABAWKI/Gry/Planszowe/Dla Dorosłych";"ZABAWKI/Gry/Planszowe";"gry-edukacyjne-i-planszowe";"Gry planszowe → Dla dziecka > Gry edukacyjne i planszowe";"OK"
"ZABAWKI/Klocki/Drewniane";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Animal Crossing";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Architecture";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Art";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Avatar";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/City";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Classic";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Creator Expert";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Disney";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/DREAMZzz";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/DUPLO";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Fortnite";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Friends";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Harry Potter";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Icons";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Ideas";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Jurassic World";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Kalendarze adwentowe";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Koci domek Gabi";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Minecraft";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Minifigurki";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Minionki";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Ninjago";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Pojemniki";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Pozostałe serie";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Sonic the Hedgehog";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Speed Champions";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Star Wars";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Super Heroes";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Super Mario";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Technic";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/The Botanical Collection";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/LEGO/Wednesday";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Klocki/Playmobil";"ZABAWKI/Klocki";"zabawki";"Klocki (drewniane, LEGO, Playmobil) → Dla dziecka > Zabawki";"OK"
"ZABAWKI/Plastyczne/Piasek kinetyczny";"ZABAWKI/Plastyczne";"artykuly-plastyczne-i-kreatywne";"Piasek kinetyczny → Dla dziecka > Artykuły plastyczne i kreatywne";"OK"
"ZABAWKI/Rowery i pojazdy/Sanki";"ZABAWKI/Rowery i pojazdy/Sanki";"pojazdy-i-jezdziki";"Sanki → Dla dziecka > Pojazdy i jeździki";"OK"
"ZABAWKI/Zabawki ogrodowe";"ZABAWKI/Zabawki ogrodowe";"zabawki-ogrodowe";"Zabawki ogrodowe → Dla dziecka > Zabawki ogrodowe";"OK"
"ZDROWIE/Artykuły higieniczne/Płatki i waciki higieniczne";"ZDROWIE/Artykuły higieniczne";"higiena-i-utrzymanie-czystosci";"Płatki i waciki higieniczne → Gastronomia > Higiena i utrzymanie czystości";"OK"
"ZDROWIE/Erotyka/BDSM/Kajdanki";"ZDROWIE/Erotyka";"gadzety";"Erotyka (BDSM, wibratory, gry) → Dom > Gadżety";"OK"
"ZDROWIE/Erotyka/BDSM/Zestawy BDSM";"ZDROWIE/Erotyka";"gadzety";"Erotyka (BDSM, wibratory, gry) → Dom > Gadżety";"OK"
"ZDROWIE/Erotyka/Gry erotyczne";"ZDROWIE/Erotyka";"gadzety";"Erotyka (BDSM, wibratory, gry) → Dom > Gadżety";"OK"
"ZDROWIE/Erotyka/Wibratory";"ZDROWIE/Erotyka";"gadzety";"Erotyka (BDSM, wibratory, gry) → Dom > Gadżety";"OK"
"ZDROWIE/Maseczki ochronne wielorazowe";"ZDROWIE/Maseczki ochronne wielorazowe";"oczyszczacze-powietrza-i-dezynfekcja";"Maseczki ochronne → Zdrowie i Uroda > Oczyszczacze powietrza i dezynfekcja";"OK"
"ZDROWIE/Profesjonalne wyposażenie salonów/Meble kosmetyczne";"ZDROWIE/Profesjonalne wyposażenie salonów/Meble kosmetyczne";"meble";"Meble kosmetyczne → Wyposażenie gabinetów i salonów > Meble";"OK"
"ZDROWIE/Specjalistyczny sprzęt medyczny/Przyrządy do usuwania kleszczy i jadu";"ZDROWIE/Specjalistyczny sprzęt medyczny/Przyrządy do usuwania kleszczy i jadu";"masaz-i-rehabilitacja";"Przyrządy medyczne → Zdrowie i Uroda > Masaż i rehabilitacja";"OK"
"ZDROWIE/Specjalistyczny sprzęt medyczny/Sterylizacja i dezynfekcja";"ZDROWIE/Specjalistyczny sprzęt medyczny/Sterylizacja i dezynfekcja";"oczyszczacze-powietrza-i-dezynfekcja";"Sterylizacja i dezynfekcja → Zdrowie i Uroda > Oczyszczacze powietrza i dezynfekcja";"OK"
"ZDROWIE/Uroda/Perfumy i wody/Zapachy dla mężczyzn/Dezodoranty";"ZDROWIE/Uroda/Perfumy i wody";"grooming";"Perfumy, dezodoranty → Zdrowie i Uroda > Grooming";"OK"
"ZDROWIE/Uroda/Pielęgnacja/Ciało/Kąpiel i prysznic/Żele";"ZDROWIE/Uroda/Pielęgnacja";"grooming";"Pielęgnacja ciała, golenie, depilacja → Zdrowie i Uroda > Grooming";"OK"
